trade_date,symbol,shares,adjusted_close,market_value
2024-10-28,SZ159519,136200,1.3,177060.0
2024-10-29,SH516950,162400,1.073,174255.19999999998
2024-10-29,SH588860,148100,1.165,172536.5
2024-10-29,SZ159790,279600,0.621,173631.6
2024-10-30,SH516950,162400,1.07,173768.0
2024-10-30,SH588860,148100,1.146,169722.59999999998
2024-10-30,SZ159790,279600,0.614,171674.4
2024-10-31,SH516950,162400,1.084,176041.6
2024-10-31,SH588860,148100,1.143,169278.3
2024-10-31,SZ159790,279600,0.621,173631.6
2024-11-01,SH516950,162400,1.108,179939.2
2024-11-01,SH588860,148100,1.143,169278.3
2024-11-01,SZ159790,279600,0.615,171954.0
2024-11-04,SH516950,162400,1.109,180101.6
2024-11-04,SH588860,148100,1.148,170018.8
2024-11-04,SZ159790,279600,0.619,173072.4
2024-11-05,SH512660,159800,1.151,183929.80000000002
2024-11-05,SH512670,117400,1.586,186196.40000000002
2024-11-05,SZ159638,210000,0.879,184590.0
2024-11-06,SH512660,159800,1.161,185527.80000000002
2024-11-06,SH512670,117400,1.586,186196.40000000002
2024-11-06,SZ159638,210000,0.888,186480.0
2024-11-07,SH512660,159800,1.153,184249.4
2024-11-07,SH512670,117400,1.554,182439.6
2024-11-07,SZ159638,210000,0.88,184800.0
2024-11-08,SH512660,159800,1.185,189363.0
2024-11-08,SH512670,117400,1.598,187605.2
2024-11-08,SZ159638,210000,0.908,190680.0
2024-11-11,SH512660,159800,1.217,194476.6
2024-11-11,SH512670,117400,1.634,191831.59999999998
2024-11-11,SZ159638,210000,0.93,195300.0
2024-11-12,SH512720,147500,1.2856351274290476,189631.1812957845
2024-11-12,SZ159852,213400,0.887,189285.8
2024-11-12,SZ159998,192200,0.984,189124.8
2024-11-13,SH512720,147500,1.302145852524455,192066.5132473571
2024-11-13,SZ159852,213400,0.905,193127.0
2024-11-13,SZ159998,192200,0.995,191239.0
2024-11-14,SH512720,147500,1.2493115322191517,184273.45100232487
2024-11-14,SZ159852,213400,0.871,185871.4
2024-11-14,SZ159998,192200,0.952,182974.4
2024-11-15,SH512720,147500,1.2085850769838138,178266.29885511255
2024-11-15,SZ159852,213400,0.838,178829.19999999998
2024-11-15,SZ159998,192200,0.919,176631.80000000002
2024-11-18,SH512720,147500,1.1513478966530684,169823.81475632757
2024-11-18,SZ159852,213400,0.794,169439.6
2024-11-18,SZ159998,192200,0.879,168943.8
2024-11-19,SH513500,40200,4.212,169322.4
2024-11-19,SZ159518,167400,1.017,170245.8
2024-11-19,SZ159529,134700,1.249,168240.30000000002
2024-11-20,SH513500,40200,4.224,169804.80000000002
2024-11-20,SZ159518,167400,1.01,169074.0
2024-11-20,SZ159529,134700,1.253,168779.09999999998
2024-11-21,SH513500,40200,4.214,169402.80000000002
2024-11-21,SZ159518,167400,1.023,171250.19999999998
2024-11-21,SZ159529,134700,1.245,167701.5
2024-11-22,SH513500,40200,4.256,171091.2
2024-11-22,SZ159518,167400,1.045,174933.0
2024-11-22,SZ159529,134700,1.251,168509.69999999998
2024-11-25,SH513500,40200,4.354,175030.80000000002
2024-11-25,SZ159518,167400,1.053,176272.19999999998
2024-11-25,SZ159529,134700,1.301,175244.69999999998
2024-11-26,SH513100,45600,7.68,350208.0
2024-11-26,SH513500,40200,4.362,175352.4
2024-11-27,SH513100,45600,7.7,351120.0
2024-11-27,SH513500,40200,4.36,175272.0
2024-11-28,SH513100,45600,7.654999999999999,349067.99999999994
2024-11-28,SH513500,40200,4.356,175111.19999999998
2024-11-29,SH513100,45600,7.66,349296.0
2024-11-29,SH513500,40200,4.364,175432.8
2024-12-02,SH513100,45600,7.7,351120.0
2024-12-02,SH513500,40200,4.398,176799.59999999998
2024-12-03,SH513400,148700,1.198,178142.6
2024-12-03,SH513500,40200,4.434,178246.80000000002
2024-12-03,SZ159518,174300,1.027,179006.09999999998
2024-12-04,SH513400,148700,1.202,178737.4
2024-12-04,SH513500,40200,4.434,178246.80000000002
2024-12-04,SZ159518,174300,1.022,178134.6
2024-12-05,SH513400,148700,1.219,181265.30000000002
2024-12-05,SH513500,40200,4.466,179533.2
2024-12-05,SZ159518,174300,0.992,172905.6
2024-12-06,SH513400,148700,1.201,178588.7
2024-12-06,SH513500,40200,4.456,179131.2
2024-12-06,SZ159518,174300,0.986,171859.8
2024-12-09,SH513400,148700,1.201,178588.7
2024-12-09,SH513500,40200,4.454,179050.8
2024-12-09,SZ159518,174300,0.973,169593.9
2024-12-10,SH512980,191400,0.869,166326.6
2024-12-10,SH513500,40200,4.414,177442.8
2024-12-10,SH516190,156400,1.081,169068.4
2024-12-11,SH512980,191400,0.87,166518.0
2024-12-11,SH513500,40200,4.454,179050.8
2024-12-11,SH516190,156400,1.086,169850.40000000002
2024-12-12,SH512980,191400,0.875,167475.0
2024-12-12,SH513500,40200,4.464,179452.80000000002
2024-12-12,SH516190,156400,1.091,170632.4
2024-12-13,SH512980,191400,0.88,168432.0
2024-12-13,SH513500,40200,4.488,180417.6
2024-12-13,SH516190,156400,1.106,172978.40000000002
2024-12-16,SH512980,191400,0.858,164221.2
2024-12-16,SH513500,40200,4.548,182829.6
2024-12-16,SH516190,156400,1.077,168442.8
2024-12-17,SH513100,19700,8.315,163805.5
2024-12-17,SH513500,40200,4.508,181221.6
2024-12-17,SZ159529,117000,1.485,173745.0
2024-12-18,SH513100,19700,8.37,164888.99999999997
2024-12-18,SH513500,40200,4.458,179211.6
2024-12-18,SZ159529,117000,1.552,181584.0
2024-12-19,SH513100,19700,8.149999999999999,160554.99999999997
2024-12-19,SH513500,40200,4.314,173422.8
2024-12-19,SZ159529,117000,1.444,168948.0
2024-12-20,SH513100,19700,7.984999999999999,157304.5
2024-12-20,SH513500,40200,4.288,172377.6
2024-12-20,SZ159529,117000,1.415,165555.0
2024-12-23,SH513100,19700,8.26,162722.0
2024-12-23,SH513500,40200,4.388,176397.6
2024-12-23,SZ159529,117000,1.486,173862.0
2024-12-24,SH513100,19700,8.24,162328.0
2024-12-24,SH513520,247200,1.433,354237.60000000003
2024-12-25,SH513100,19700,8.335,164199.50000000003
2024-12-25,SH513520,247200,1.438,355473.6
2024-12-26,SH513100,19700,8.37,164888.99999999997
2024-12-26,SH513520,247200,1.447,357698.4
2024-12-27,SH513100,19700,8.309999999999999,163706.99999999997
2024-12-27,SH513520,247200,1.477,365114.4
2024-12-30,SH513100,19700,8.195,161441.5
2024-12-30,SH513520,247200,1.474,364372.8
2024-12-31,SH515050,146500,1.141,167156.5
2024-12-31,SH520990,184500,0.953,175828.5
2024-12-31,SH561100,189400,0.886,167808.4
2025-01-02,SH515050,146500,1.101,161296.5
2025-01-02,SH520990,184500,0.931,171769.5
2025-01-02,SH561100,189400,0.849,160800.6
2025-01-03,SH515050,146500,1.076,157634.0
2025-01-03,SH520990,184500,0.939,173245.5
2025-01-03,SH561100,189400,0.834,157959.6
2025-01-06,SH515050,146500,1.07,156755.0
2025-01-06,SH520990,184500,0.943,173983.5
2025-01-06,SH561100,189400,0.828,156823.19999999998
2025-01-07,SH515050,146500,1.104,161736.0
2025-01-07,SH520990,184500,0.928,171216.0
2025-01-07,SH561100,189400,0.865,163831.0
