trade_date,cash,positions_value,total_value,daily_return,cash_ratio,exposure,gross_traded,transaction_cost,holdings
2024-06-13,249.90128318718052,470005.2,470255.10128318716,0.012292684026950607,0.000531416421651299,0.9994685835783488,0.0,0.0,SH513100;SH513500;SZ159509
2024-06-14,121.34168318717275,468601.1,468722.44168318715,-0.0032592088758162108,0.0002588774771513681,0.9997411225228486,333159.6,333.1596,SH513100;SH513310;SH513500
2024-06-17,121.34168318717275,470581.6,470702.94168318715,0.004225315077486025,0.0002577882406115137,0.9997422117593885,0.0,0.0,SH513100;SH513310;SH513500
2024-06-18,121.34168318717275,474949.9,475071.2416831872,0.009280375398503793,0.0002554178669229833,0.999744582133077,0.0,0.0,SH513100;SH513310;SH513500
2024-06-19,121.34168318717275,475444.8,475566.14168318716,0.0010417384943077757,0.0002551520651947678,0.9997448479348052,0.0,0.0,SH513100;SH513310;SH513500
2024-06-20,121.34168318717275,478452.7,478574.0416831872,0.006324882569129109,0.00025354840133076027,0.9997464515986693,0.0,0.0,SH513100;SH513310;SH513500
2024-06-21,121.34168318717275,474029.3,474150.64168318716,-0.009242874904878962,0.0002559137803893336,0.9997440862196106,0.0,0.0,SH513100;SH513310;SH513500
2024-06-24,121.34168318717275,469512.0,469633.3416831872,-0.009527140960864267,0.00025837535885394903,0.999741624641146,0.0,0.0,SH513100;SH513310;SH513500
2024-06-25,121.34168318717275,464203.4,464324.7416831872,-0.01130371191486046,0.0002613293505474348,0.9997386706494525,0.0,0.0,SH513100;SH513310;SH513500
2024-06-26,121.34168318717275,472829.6,472950.94168318715,0.018577946048556004,0.00025656293812489157,0.9997434370618751,0.0,0.0,SH513100;SH513310;SH513500
2024-06-27,121.34168318717275,472392.6,472513.94168318715,-0.0009239858968136394,0.00025680021790453405,0.9997431997820955,0.0,0.0,SH513100;SH513310;SH513500
2024-06-28,96.79268318717368,476139.39999999997,476236.19268318714,0.007877547457627587,0.00020324512221935292,0.9997967548777806,325549.0,325.549,SH513100;SH513290;SH513500
2024-07-01,96.79268318717368,474270.6,474367.39268318715,-0.0039241032678992704,0.00020404581908482487,0.9997959541809152,0.0,0.0,SH513100;SH513290;SH513500
2024-07-02,96.79268318717368,474551.00000000006,474647.79268318723,0.000591103023363404,0.00020392527823631914,0.9997960747217637,0.0,0.0,SH513100;SH513290;SH513500
2024-07-03,96.79268318717368,478579.4,478676.1926831872,0.008487135223419928,0.0002022091022421834,0.9997977908977578,0.0,0.0,SH513100;SH513290;SH513500
2024-07-04,96.79268318717368,477489.80000000005,477586.5926831872,-0.002276277819233674,0.0002026704364613147,0.9997973295635387,0.0,0.0,SH513100;SH513290;SH513500
2024-07-05,20.458383187185973,481016.3,481036.7583831872,0.007224167832300621,4.252977102196649e-05,0.9999574702289781,320434.30000000005,320.4343,SH513100;SH513500;SZ159529
2024-07-08,20.458383187185973,485012.20000000007,485032.65838318726,0.00830684959176664,4.2179393147220546e-05,0.9999578206068528,0.0,0.0,SH513100;SH513500;SZ159529
2024-07-09,20.458383187185973,486255.4,486275.8583831872,0.0025631263761578538,4.2071558426132454e-05,0.9999579284415738,0.0,0.0,SH513100;SH513500;SZ159529
2024-07-10,20.458383187185973,483217.2,483237.6583831872,-0.006247893963113205,4.233606970043575e-05,0.9999576639302996,0.0,0.0,SH513100;SH513500;SZ159529
2024-07-11,20.458383187185973,487308.3,487328.7583831872,0.008466020660906182,4.198066056076978e-05,0.9999580193394392,0.0,0.0,SH513100;SH513500;SZ159529
2024-07-12,29.349483187135775,470251.4,470280.74948318716,-0.034982562811520235,6.240842989935108e-05,0.9999375915701006,622208.9,622.2089,SH513100;SH513520;SH513850
2024-07-15,29.349483187135775,482616.39999999997,482645.7494831871,0.026292804911934864,6.0809575591545035e-05,0.9999391904244085,0.0,0.0,SH513100;SH513520;SH513850
2024-07-16,29.349483187135775,482946.0,482975.34948318714,0.0006829025229229124,6.0768076918504225e-05,0.9999392319230815,0.0,0.0,SH513100;SH513520;SH513850
2024-07-17,29.349483187135775,479012.4,479041.74948318716,-0.008144515044523848,6.126706747125774e-05,0.9999387329325288,0.0,0.0,SH513100;SH513520;SH513850
2024-07-18,29.349483187135775,472803.1,472832.4494831871,-0.012961918260149363,6.207163492948759e-05,0.9999379283650706,0.0,0.0,SH513100;SH513520;SH513850
2024-07-19,83.53448318716255,465568.2,465651.7344831872,-0.015186595183660834,0.000179392616844593,0.9998206073831554,936815.0,936.815,SH513290;SH517520;SZ159502
2024-07-22,83.53448318716255,465637.8,465721.3344831872,0.00014946792816572518,0.0001793658074089758,0.9998206341925909,0.0,0.0,SH513290;SH517520;SZ159502
2024-07-23,83.53448318716255,465673.0,465756.53448318713,7.558167812726779e-05,0.00017935225166481906,0.9998206477483352,0.0,0.0,SH513290;SH517520;SZ159502
2024-07-24,83.53448318716255,459253.0,459336.53448318713,-0.013784025611414674,0.00018185900078936595,0.9998181409992107,0.0,0.0,SH513290;SH517520;SZ159502
2024-07-25,83.53448318716255,452363.6,452447.1344831871,-0.014998589232078974,0.00018462816276332652,0.9998153718372368,0.0,0.0,SH513290;SH517520;SZ159502
2024-07-26,6017.715037202521,450332.4467495177,456350.1617867202,0.008626482534785929,0.013186617516780809,0.9868133824832191,907515.5039420426,907.5155039420426,SH511880
2024-07-29,6017.715037202521,450354.732712142,456372.4477493445,4.8835224550014544e-05,0.013185973576800274,0.9868140264231997,0.0,0.0,SH511880
2024-07-30,6017.715037202521,450372.56148224144,456390.27651944396,3.906627182992395e-05,0.01318545847009548,0.9868145415299046,0.0,0.0,SH511880
2024-07-31,6017.715037202521,450345.8183270923,456363.5333642948,-5.8597118573811e-05,0.01318623114524544,0.9868137688547546,0.0,0.0,SH511880
2024-08-01,6017.715037202521,450412.6762149652,456430.3912521677,0.00014650138099336907,0.013184299627142633,0.9868157003728574,0.0,0.0,SH511880
2024-08-02,61.895399940840434,447923.8,447985.6953999408,-0.01850160728574568,0.00013816378642533014,0.9998618362135747,905982.1625252636,905.9821625252637,SH513290;SH513400;SZ159502
