trade_date,observation_date,rebalance,cash_before,drift_l1,available_count,weights_json,volatilities_json
2015-01-30,2015-01-29,True,1523.8533320580989,0.1576415619941332,7,"{""SH511010"": 0.4386314376587926, ""SH513100"": 0.10590758846147566, ""SH513500"": 0.06536045934767877, ""SH518880"": 0.04423905691883427, ""SZ159928"": 0.09163762017754651, ""SZ161005"": 0.22603118549727746, ""SZ163412"": 0.02819265193839473}","{""SH511010"": 3.208424089101278, ""SH513100"": 17.881697268841833, ""SH513500"": 16.095324316951476, ""SH518880"": 14.287416780245707, ""SZ159928"": 24.817598343138087, ""SZ161005"": 12.240188225929852, ""SZ163412"": 40.01968640836304}"
2015-02-06,2015-02-05,True,8796.5533320581,0.1794313931699973,7,"{""SH511010"": 0.47687432739665636, ""SH513100"": 0.09186655737239632, ""SH513500"": 0.05368427768645818, ""SH518880"": 0.0381085568619599, ""SZ159928"": 0.09948983215461314, ""SZ161005"": 0.20308629523063929, ""SZ163412"": 0.03689015329727681}","{""SH511010"": 2.8724991846588934, ""SH513100"": 17.923127582374914, ""SH513500"": 16.57883320554263, ""SH518880"": 14.370293289673175, ""SZ159928"": 22.234508970274305, ""SZ161005"": 12.054583472573562, ""SZ163412"": 32.65928371163793}"
2015-02-13,2015-02-12,True,1893.5218219142996,0.18127634734749487,7,"{""SH511010"": 0.37693896834723567, ""SH513100"": 0.11762830614895864, ""SH513500"": 0.0673420812398707, ""SH518880"": 0.03869221412770063, ""SZ159928"": 0.1211768576114562, ""SZ161005"": 0.22511169821090168, ""SZ163412"": 0.05310987431387648}","{""SH511010"": 3.4872447745166157, ""SH513100"": 17.095927249851396, ""SH513500"": 15.976819092919254, ""SH518880"": 15.39292514848373, ""SZ159928"": 21.74518538067515, ""SZ161005"": 12.35803868981488, ""SZ163412"": 29.378547097027806}"
2015-02-27,2015-02-26,True,1755.6466879442967,0.1211563954873871,7,"{""SH511010"": 0.329838697632978, ""SH513100"": 0.13202560847632078, ""SH513500"": 0.0794379734155006, ""SH518880"": 0.03503780701850407, ""SZ159928"": 0.10665106325680793, ""SZ161005"": 0.2563110686785965, ""SZ163412"": 0.06069778152129217}","{""SH511010"": 3.532594488846791, ""SH513100"": 15.291360721460501, ""SH513500"": 13.93946630341765, ""SH518880"": 15.328199007007711, ""SZ159928"": 21.96428156089518, ""SZ161005"": 10.974671802926538, ""SZ163412"": 26.041031417720657}"
2015-03-06,2015-03-05,True,7258.152274268881,0.07147976783218069,7,"{""SH511010"": 0.3208812773789579, ""SH513100"": 0.12714819305402186, ""SH513500"": 0.08105778248371907, ""SH518880"": 0.036332692052357146, ""SZ159928"": 0.10916895976016382, ""SZ161005"": 0.2580051486363889, ""SZ163412"": 0.0674059466343913}","{""SH511010"": 3.609918573252402, ""SH513100"": 15.70525998786695, ""SH513500"": 13.908742582340311, ""SH518880"": 15.171754398877187, ""SZ159928"": 21.881395466687863, ""SZ161005"": 11.025188925599634, ""SZ163412"": 24.906946546829897}"
2015-03-13,2015-03-12,True,6508.652274268881,0.07403141234677266,7,"{""SH511010"": 0.2627024601990482, ""SH513100"": 0.1406382617122601, ""SH513500"": 0.09605849979979154, ""SH518880"": 0.03181041294691314, ""SZ159928"": 0.14074080868645802, ""SZ161005"": 0.2603465621067003, ""SZ163412"": 0.06770299454882868}","{""SH511010"": 3.9282454011312806, ""SH513100"": 14.703122224855026, ""SH513500"": 12.579935509348225, ""SH518880"": 15.964709673688246, ""SZ159928"": 18.974732679263905, ""SZ161005"": 10.80650823708387, ""SZ163412"": 24.469592760904746}"
2015-03-20,2015-03-19,True,10447.660344402302,0.2033553454805373,7,"{""SH511010"": 0.3069970268988952, ""SH513100"": 0.14555300646795954, ""SH513500"": 0.09358582405097061, ""SH518880"": 0.03522989472338534, ""SZ159928"": 0.12342813033980002, ""SZ161005"": 0.23338560611620948, ""SZ163412"": 0.06182051140277986}","{""SH511010"": 3.606584344748673, ""SH513100"": 14.344427488666126, ""SH513500"": 12.649512177070163, ""SH518880"": 15.056447117749357, ""SZ159928"": 20.109955485779, ""SZ161005"": 11.328092218402167, ""SZ163412"": 25.415396024280206}"
2015-03-27,2015-03-26,True,5752.5670833179665,0.10706968521988595,7,"{""SH511010"": 0.28742347037675586, ""SH513100"": 0.13784529985394642, ""SH513500"": 0.08180940502781406, ""SH518880"": 0.041265625296056166, ""SZ159928"": 0.16781404226391367, ""SZ161005"": 0.21823519840762273, ""SZ163412"": 0.06560695877389101}","{""SH511010"": 3.531406898229806, ""SH513100"": 13.96508315011876, ""SH513500"": 12.81807747416586, ""SH518880"": 13.1804324012005, ""SZ159928"": 16.339912726317067, ""SZ161005"": 11.098827670466257, ""SZ163412"": 23.37404749779014}"
2015-04-03,2015-04-02,True,3961.167083317966,0.1440082321909153,7,"{""SH511010"": 0.21991696830160895, ""SH513100"": 0.1578891346848502, ""SH513500"": 0.09978268019659055, ""SH518880"": 0.04279567574514646, ""SZ159928"": 0.19778515867160504, ""SZ161005"": 0.20125560586325822, ""SZ163412"": 0.08057477653694063}","{""SH511010"": 4.0946743966388635, ""SH513100"": 13.234369389824971, ""SH513500"": 11.771635178754922, ""SH518880"": 13.1269489569056, ""SZ159928"": 15.265354681080574, ""SZ161005"": 11.72209890508913, ""SZ163412"": 21.39189153941988}"
2015-04-10,2015-04-09,True,6694.993533038051,0.15426117232431685,7,"{""SH511010"": 0.22568592487204547, ""SH513100"": 0.17211533986338998, ""SH513500"": 0.11625529638010977, ""SH518880"": 0.0497735368575647, ""SZ159928"": 0.19761329072608766, ""SZ161005"": 0.15575666932817864, ""SZ163412"": 0.08279994197262372}","{""SH511010"": 4.03025875747004, ""SH513100"": 12.638804904126863, ""SH513500"": 10.874127672540778, ""SH518880"": 12.136708309539284, ""SZ159928"": 15.22762240083127, ""SZ161005"": 13.285945711930019, ""SZ163412"": 21.041182900583287}"
