execution_date,symbol,shares,market_value_at_open
2019-05-06,SH603029,125500,1321102.0493507385
2019-05-06,SH603031,107700,1320811.2241744995
2019-05-06,SH603269,148800,1321029.2678833008
2019-05-06,SH603286,91100,1321380.8365821838
2019-05-06,SZ002072,207500,1025289.5545959473
2019-05-06,SZ002890,139700,1320969.5390701294
2019-05-06,SZ300321,92500,1320659.589767456
2019-05-06,SZ300354,144300,1321314.0312194824
2019-05-06,SZ300442,98100,718876.4792919159
2019-05-06,SZ300592,110400,1090122.720336914
2019-05-06,SZ300665,154700,1119207.2361946106
2019-06-03,SH600137,101800,1412267.2401428223
2019-06-03,SH603029,131300,1412064.8993492126
2019-06-03,SH603269,160100,1412420.755290985
2019-06-03,SH603286,92700,1412673.6296653748
2019-06-03,SZ000679,357700,1412694.988656044
2019-06-03,SZ000691,345500,1412604.1059494019
2019-06-03,SZ002209,48800,349427.37617492676
2019-06-03,SZ002890,139700,1408909.5443725586
2019-06-03,SZ300321,92500,1370454.2398452759
2019-06-03,SZ300592,110400,1326964.567565918
2019-06-03,SZ300665,154700,1189392.2020435333
2019-07-01,SH603029,128500,1434730.5583953857
2019-07-01,SH603269,155900,1434756.0366630554
2019-07-01,SH603286,91100,1433676.0155677795
2019-07-01,SZ000679,358700,1434665.2193069458
2019-07-01,SZ000691,348200,1434823.3821868896
2019-07-01,SZ002209,199600,1434729.2184829712
2019-07-01,SZ002890,139700,1434495.5068588257
2019-07-01,SZ300321,97100,1434222.7907180786
2019-07-01,SZ300592,128900,1434316.010761261
2019-07-01,SZ300665,177200,1434614.698791504
2019-08-01,SH603029,126000,1385440.1607513428
2019-08-01,SH603286,88700,1385200.036430359
2019-08-01,SZ000679,356300,1385994.719839096
2019-08-01,SZ000691,346600,1385855.5948257446
2019-08-01,SZ002209,204400,1385800.4640579224
2019-08-01,SZ002633,154300,1385711.3439559937
2019-08-01,SZ002890,143600,1385472.212600708
2019-08-01,SZ300321,95900,1384919.2442893982
2019-08-01,SZ300592,131500,1385135.9000205994
2019-08-01,SZ300665,184900,1386023.7668514252
2019-09-02,SH603029,126900,1319972.1018791199
2019-09-02,SH603269,157600,1320188.4239196777
2019-09-02,SH603286,89500,1320480.3280830383
2019-09-02,SZ000679,363700,1320373.1639623642
2019-09-02,SZ000691,345800,1320497.1696853638
2019-09-02,SZ002209,207600,1320406.0146331787
2019-09-02,SZ002633,162000,1320055.835723877
2019-09-02,SZ002890,140300,1320124.635219574
2019-09-02,SZ300321,95000,1319868.2165145874
2019-09-02,SZ300665,183400,1320208.1644058228
2019-10-08,SH603269,158300,1360210.219860077
2019-10-08,SH603286,91300,1359735.1344108582
2019-10-08,SZ000679,372700,1360264.6663427353
2019-10-08,SZ000691,358800,1360013.5800361633
2019-10-08,SZ000929,190500,1360134.7296237946
2019-10-08,SZ002209,201400,1360137.0344161987
2019-10-08,SZ002633,157500,1359687.795639038
2019-10-08,SZ002890,138200,1360070.4292297363
2019-10-08,SZ300592,129300,1359634.1826438904
2019-10-08,SZ300665,188100,1359241.8713092804
2019-11-01,SH603269,157500,1374099.3905067444
2019-11-01,SH603286,90600,1374171.224784851
2019-11-01,SH603729,97100,1374874.405002594
2019-11-01,SH603991,80100,1374765.9336090088
2019-11-01,SZ000609,305500,1374529.304265976
2019-11-01,SZ000691,363800,1374748.8678455353
2019-11-01,SZ000929,193300,1374340.351343155
2019-11-01,SZ002209,211500,1374766.0353183746
2019-11-01,SZ002633,165600,1371625.9483337402
2019-11-01,SZ300665,188000,1374546.0567474365
2019-12-02,SH603029,136000,1355529.899597168
2019-12-02,SH603269,170100,1355045.6510066986
2019-12-02,SH603286,95700,1355677.2909164429
2019-12-02,SH603991,83600,1355650.2319335938
2019-12-02,SZ000691,365500,1355500.113248825
2019-12-02,SZ000929,206600,1355155.4079055786
2019-12-02,SZ002633,170600,1355156.5516471863
2019-12-02,SZ300069,124600,1355522.4132537842
2019-12-02,SZ300321,98000,1354806.8962097168
2019-12-02,SZ300665,191200,1351327.3559570312
2020-01-02,SH603029,138800,1517759.5264434814
2020-01-02,SH603269,180100,1517491.275691986
2020-01-02,SH603286,97000,1517080.1258087158
2020-01-02,SH603991,88200,1517130.5740356445
2020-01-02,SZ000679,423800,1517612.075471878
2020-01-02,SZ000691,377600,1517525.2655029297
2020-01-02,SZ000929,218000,1517240.818977356
2020-01-02,SZ002209,217200,1517693.844795227
2020-01-02,SZ002633,177200,1517293.9270019531
2020-01-02,SZ300665,198700,1515252.0764827728
2020-02-03,SH600561,100,477.9184341430664
2020-02-03,SH603029,138800,1329307.4089050293
2020-02-03,SH603269,180100,1357297.0235824585
2020-02-03,SH603286,97000,1474240.6854629517
2020-02-03,SH603991,88200,1330143.8083648682
