order_id,trade_date,symbol,asset_type,commission,stamp_tax,total_fees
723,2021-05-06,SZ002394,stock,192.0506177710533,640.168725903511,832.2193436745644
724,2021-05-06,SZ002406,stock,15.531156255397795,51.77052085132599,67.30167710672379
725,2021-05-06,SZ002432,stock,231.27084117293356,770.9028039097786,1002.1736450827123
726,2021-05-06,SZ300259,stock,226.38643455943108,754.621448531437,981.0078830908681
727,2021-05-06,SZ300552,stock,180.52829553222654,601.7609851074219,782.2892806396485
728,2021-05-06,SH600512,stock,218.00452842773436,0.0,218.00452842773436
729,2021-05-06,SZ002382,stock,217.93360544322962,0.0,217.93360544322962
730,2021-05-06,SZ000848,stock,218.03938257139203,0.0,218.03938257139203
731,2021-05-06,SH601678,stock,217.9129463314247,0.0,217.9129463314247
732,2021-05-06,SZ002022,stock,217.72951148941038,0.0,217.72951148941038
733,2021-05-06,SZ002154,stock,218.0057139844608,0.0,218.0057139844608
734,2021-05-06,SH600618,stock,218.01833558898923,0.0,218.01833558898923
735,2021-05-06,SH600750,stock,218.0060883956909,0.0,218.0060883956909
736,2021-05-06,SH600694,stock,217.79832953773496,0.0,217.79832953773496
737,2021-05-06,SH600035,stock,218.0035669787979,0.0,218.0035669787979
738,2021-05-06,SH600075,stock,217.91668367820736,0.0,217.91668367820736
739,2021-05-06,SH600089,stock,217.9638865266037,0.0,217.9638865266037
740,2021-05-06,SH600033,stock,218.00874145351406,0.0,218.00874145351406
741,2021-05-06,SH603685,stock,218.02719360168453,0.0,218.02719360168453
742,2021-05-06,SZ002763,stock,217.90819283821105,0.0,217.90819283821105
743,2021-05-06,SZ002664,stock,217.77469290990828,0.0,217.77469290990828
744,2021-05-06,SH603900,stock,217.9712581893539,0.0,217.9712581893539
745,2021-05-06,SH601126,stock,198.03718644275665,0.0,198.03718644275665
746,2021-06-01,SH600618,stock,236.32037853206634,787.7345951068879,1024.0549736389544
747,2021-06-01,SH600750,stock,225.99685634765623,753.3228544921875,979.3197108398438
748,2021-06-01,SH601678,stock,9.378143162441253,31.260477208137512,40.638620370578764
749,2021-06-01,SH603685,stock,5.0,1.174227363395691,6.174227363395691
750,2021-06-01,SH603900,stock,240.3097541583824,801.0325138612748,1041.3422680196572
751,2021-06-01,SZ000848,stock,314.7970072234726,1049.3233574115752,1364.1203646350477
752,2021-06-01,SZ002022,stock,231.75264112106322,772.5088037368776,1004.2614448579408
753,2021-06-01,SZ002154,stock,256.97827432920457,856.5942477640152,1113.5725220932197
754,2021-06-01,SZ002763,stock,242.00998082834244,806.6999360944749,1048.7099169228172
755,2021-06-01,SH600512,stock,5.0,0.0,5.0
756,2021-06-01,SZ002382,stock,32.81076578086852,0.0,32.81076578086852
757,2021-06-01,SZ300677,stock,227.97371005966184,0.0,227.97371005966184
758,2021-06-01,SH600075,stock,10.545793760776519,0.0,10.545793760776519
759,2021-06-01,SH600694,stock,6.105252863960265,0.0,6.105252863960265
760,2021-06-01,SH600566,stock,228.6473173873901,0.0,228.6473173873901
761,2021-06-01,SH601000,stock,14.892158902416227,0.0,14.892158902416227
762,2021-06-01,SZ002753,stock,228.86636671983715,0.0,228.86636671983715
763,2021-06-01,SH600089,stock,17.784857772674556,0.0,17.784857772674556
764,2021-06-01,SH600035,stock,9.568523294520377,0.0,9.568523294520377
765,2021-06-01,SZ002406,stock,14.46218777492523,0.0,14.46218777492523
766,2021-06-01,SZ002664,stock,11.638524940280913,0.0,11.638524940280913
767,2021-06-01,SH600483,stock,228.9064883354187,0.0,228.9064883354187
768,2021-06-01,SZ002567,stock,228.91729180727003,0.0,228.91729180727003
769,2021-06-01,SH600033,stock,5.0,0.0,5.0
770,2021-06-01,SH601515,stock,229.04350478513717,0.0,229.04350478513717
771,2021-06-01,SZ300403,stock,228.98863065613747,0.0,228.98863065613747
772,2021-06-01,SH601126,stock,29.23057269744873,0.0,29.23057269744873
773,2021-07-01,SH600035,stock,233.704067335124,779.0135577837467,1012.7176251188707
774,2021-07-01,SH600089,stock,15.362506651210783,51.20835550403595,66.57086215524673
775,2021-07-01,SH600483,stock,243.22263274692534,810.7421091564179,1053.964741903343
776,2021-07-01,SH601126,stock,304.3132127735137,1014.3773759117125,1318.6905886852262
777,2021-07-01,SH601515,stock,224.8623801979065,749.5412673263551,974.4036475242616
778,2021-07-01,SH601678,stock,267.0562591097259,890.1875303657531,1157.243789475479
779,2021-07-01,SZ002406,stock,235.7953616203308,785.984538734436,1021.7799003547668
780,2021-07-01,SZ002664,stock,263.6461650747299,878.8205502490997,1142.4667153238297
781,2021-07-01,SZ002753,stock,7.657803695812224,25.526012319374086,33.18381601518631
782,2021-07-01,SZ300403,stock,240.22659152086254,800.7553050695419,1040.9818965904044
783,2021-07-01,SH600512,stock,11.07935810142517,0.0,11.07935810142517
