execution_date,observation_date,active_full_market_stocks,merged_point_in_time_rows,eligible_candidates,selected_count,selected_industries,selected_sha256
2022-06-01,2022-05-31,4815,4091,1374,20,12,ada44c4aa70da828384c3baf9f86f9a478ea4941457c615683cab0b96a63aa2d
2022-07-01,2022-06-30,4817,4149,1368,20,14,52cab5b4db196d90ca66f2e33643b9191504021c3bb1d2beb53da3450299456a
2022-08-01,2022-07-29,4844,4193,1383,20,14,76e04d764a669524f86e179ed11cc4c9078bb32dfff7d5a47ae13be1e09f1fe7
2022-09-01,2022-08-31,4893,4251,2108,20,15,c02c0f16ab6ac13388e364365b985dba168f9b8b80703e4e4647c7bf75cc32ba
2022-10-10,2022-09-30,4943,4290,2157,20,12,c825d932381d77980073efd50d8608c9bbb8cf4534fc0fabe80c4dc91d9a9cc6
2022-11-01,2022-10-31,4973,4317,2073,20,12,f23c2bb0d983a80f40c17889108a53635bdf72e11ff96534481343e0bbd02969
2022-12-01,2022-11-30,5007,4365,2081,20,11,f35c5d32cd0c7fadb8694dbbf2be04101a17ab588d07d76342ba0ae0f6fc2caa
2023-01-03,2022-12-30,5067,4395,2103,20,12,adbffe2d40cc843b57523f8c4245b20c91ca60a8c62bab18e05df0d6bf78e6f5
2023-02-01,2023-01-31,5077,4428,2103,20,13,076a7b055899301e52b2619b00c77746ad4a45283300da2f531f21393adf498f
2023-03-01,2023-02-28,5097,4456,2096,20,12,9ef5338772168c65eac4281211711d8404392bd3ef2fcdd070f23bbdb6bed7a5
2023-04-03,2023-03-31,5130,4482,2115,20,12,9494af82aa8b7569949283f472a04334ae7adf30c8cd928982fd074ea595c160
2023-05-04,2023-04-28,5163,4456,1649,20,10,d1e4e69b1db665902450da373d247e506e418d7e7bc8bc4b5b0f33f26f71a86a
2023-06-01,2023-05-31,5186,4496,1544,20,12,9afa6a923f9c9e3e98cee8181ddbc7ec5e6264736f4abc6d8e99d10e253b02dd
